"ZipCode","PlaceName","State","County","Lat","Long"
"66862","Matfield Green","KS","Chase","38.144799999999996","-96.554100000000005"
"66509","Mayetta","KS","Jackson","39.3489","-95.692800000000005"
"67103","Mayfield","KS","Sumner","37.251800000000003","-97.541600000000003"
"67556","Mc Cracken","KS","Rush","38.595700000000001","-99.554000000000002"
"66753","Mc Cune","KS","Crawford","37.346800000000002","-95.037599999999998"
"67745","Mc Donald","KS","Rawlins","39.792299999999997","-101.3227"
"66501","Mc Farland","KS","Wabaunsee","39.0535","-96.237899999999996"
"66054","Mc Louth","KS","Jefferson","39.166800000000002","-95.218299999999999"
"67221","Mcconnell Afb","KS","Sedgwick","37.6066","-97.297899999999998"
"67460","Mcpherson","KS","McPherson","38.376300000000001","-97.670199999999994"
"67864","Meade","KS","Meade","37.2821","-100.3364"
"67104","Medicine Lodge","KS","Barber","37.284500000000001","-98.584800000000001"
"66510","Melvern","KS","Osage","38.502699999999997","-95.629000000000005"
"66512","Meriden","KS","Jefferson","39.203800000000001","-95.547600000000003"
"67105","Milan","KS","Sumner","37.257800000000003","-97.652100000000004"
"66514","Milford","KS","Geary","39.169199999999996","-96.909999999999997"
"67106","Milton","KS","Sumner","37.440100000000001","-97.759200000000007"
"67466","Miltonvale","KS","Cloud","39.348100000000002","-97.457899999999995"
"67467","Minneapolis","KS","Ottawa","39.1295","-97.668800000000005"
"67865","Minneola","KS","Clark","37.442500000000003","-100.00879999999999"
"66222","Mission","KS","Johnson","39.027799999999999","-94.655799999999999"
"66205","Mission","KS","Johnson","39.027799999999999","-94.655799999999999"
"66202","Mission","KS","Johnson","39.027799999999999","-94.655799999999999"
"66201","Mission","KS","Johnson","39.027799999999999","-94.655799999999999"
"67353","Moline","KS","Elk","37.364899999999999","-96.306899999999999"
"67867","Montezuma","KS","Gray","37.601599999999998","-100.4461"
"67747","Monument","KS","Logan","39.079000000000001","-101.035"
"66755","Moran","KS","Allen","37.934199999999997","-95.164699999999996"
"67468","Morganville","KS","Clay","39.460700000000003","-97.246700000000004"
"67650","Morland","KS","Graham","39.322899999999997","-100.0733"
"66515","Morrill","KS","Brown","39.935600000000001","-95.712000000000003"
"66958","Morrowville","KS","Washington","39.861600000000003","-97.182500000000005"
"67952","Moscow","KS","Stevens","37.3172","-101.2427"
"66056","Mound City","KS","Linn","38.155999999999999","-94.818600000000004"
"67354","Mound Valley","KS","Labette","37.209099999999999","-95.424700000000001"
"67107","Moundridge","KS","McPherson","38.206000000000003","-97.508799999999994"
"67108","Mount Hope","KS","Sedgwick","37.868400000000001","-97.659099999999995"
"66756","Mulberry","KS","Crawford","37.544199999999996","-94.683899999999994"
"67109","Mullinville","KS","Kiowa","37.571599999999997","-99.463899999999995"
"67110","Mulvane","KS","Sumner","37.476399999999998","-97.231999999999999"
"66959","Munden","KS","Republic","39.927199999999999","-97.540300000000002"
"67111","Murdock","KS","Kingman","37.609900000000003","-97.950299999999999"
"66058","Muscotah","KS","Atchison","39.538800000000002","-95.517499999999998"
"66960","Narka","KS","Republic","39.958199999999998","-97.424300000000002"
"67112","Nashville","KS","Kingman","37.434399999999997","-98.417100000000005"
"67651","Natoma","KS","Osborne","39.201300000000003","-98.982900000000001"
"66863","Neal","KS","Greenwood","37.832900000000002","-96.081800000000001"
"67559","Nekoma","KS","Rush","38.437199999999997","-99.423400000000001"
"66757","Neodesha","KS","Wilson","37.425699999999999","-95.676500000000004"
"66758","Neosho Falls","KS","Woodson","37.966900000000003","-95.549700000000001"
"66864","Neosho Rapids","KS","Lyon","38.394799999999996","-96.016800000000003"
"67560","Ness City","KS","Ness","38.438800000000001","-99.902900000000002"
"66516","Netawaka","KS","Jackson","39.606299999999997","-95.727000000000004"
"66759","New Albany","KS","Wilson","37.569000000000003","-95.937899999999999"
"67470","New Cambria","KS","Saline","38.896000000000001","-97.522999999999996"
"66031","New Century","KS","Johnson","38.8249","-94.899199999999993"
"67114","Newton","KS","Harvey","38.045099999999998","-97.343500000000006"
"67561","Nickerson","KS","Reno","38.141199999999998","-98.067400000000006"
"67355","Niotaze","KS","Chautauqua","37.036999999999999","-96.012100000000004"
"67653","Norcatur","KS","Decatur","39.844700000000003","-100.2007"
"67117","North Newton","KS","Harvey","38.074300000000001","-97.347300000000004"
"67654","Norton","KS","Norton","39.840699999999998","-99.887799999999999"
"66060","Nortonville","KS","Jefferson","39.409500000000001","-95.323599999999999"
"66961","Norway","KS","Republic","39.8279","-97.650899999999993"
"67118","Norwich","KS","Kingman","37.450099999999999","-97.866200000000006"
"67748","Oakley","KS","Logan","39.112099999999998","-100.858"
"67749","Oberlin","KS","Decatur","39.827500000000001","-100.5314"
"67563","Offerle","KS","Edwards","37.882800000000003","-99.549800000000005"
"67656","Ogallah","KS","Trego","38.991399999999999","-99.732299999999995"
"66517","Ogden","KS","Riley","39.115299999999998","-96.710099999999997"
"66518","Oketo","KS","Marshall","39.959800000000001","-96.623500000000007"
"66062","Olathe","KS","Johnson","38.8733","-94.775199999999998"
"66051","Olathe","KS","Johnson","38.899900000000002","-94.831999999999994"
"66061","Olathe","KS","Johnson","38.886499999999998","-94.820400000000006"
"66063","Olathe","KS","Johnson","38.899900000000002","-94.831999999999994"
"67564","Olmitz","KS","Barton","38.5167","-98.936499999999995"
"66865","Olpe","KS","Lyon","38.257800000000003","-96.189099999999996"
"66520","Olsburg","KS","Pottawatomie","39.412500000000001","-96.600200000000001"
"66521","Onaga","KS","Pottawatomie","39.488900000000001","-96.170000000000002"
"66522","Oneida","KS","Nemaha","39.863900000000001","-95.9392"
"66760","Opolis","KS","Crawford","37.341999999999999","-94.619900000000001"
"66523","Osage City","KS","Osage","38.626899999999999","-95.830299999999994"
"66064","Osawatomie","KS","Miami","38.488799999999998","-94.962000000000003"
"67473","Osborne","KS","Osborne","39.419400000000003","-98.696100000000001"
"66066","Oskaloosa","KS","Jefferson","39.215200000000003","-95.313500000000005"
"67356","Oswego","KS","Labette","37.182299999999998","-95.133499999999998"
"67565","Otis","KS","Rush","38.535299999999999","-99.053399999999996"
"66067","Ottawa","KS","Franklin","38.614199999999997","-95.274500000000003"
"66524","Overbrook","KS","Osage","38.792200000000001","-95.561599999999999"
"66210","Overland Park","KS","Johnson","38.927300000000002","-94.714299999999994"
"66207","Overland Park","KS","Johnson","38.957500000000003","-94.645200000000003"
"66225","Overland Park","KS","Johnson","38.899900000000002","-94.831999999999994"
"66283","Overland Park","KS","Johnson","38.899900000000002","-94.831999999999994"
"66251","Overland Park","KS","Johnson","38.899900000000002","-94.831999999999994"
"66204","Overland Park","KS","Johnson","38.992800000000003","-94.677099999999996"
"66214","Overland Park","KS","Johnson","38.9649","-94.7209"
"66221","Overland Park","KS","Johnson","38.863599999999998","-94.710300000000004"
"66213","Overland Park","KS","Johnson","38.898200000000003","-94.704899999999995"
"66282","Overland Park","KS","Johnson","38.899900000000002","-94.831999999999994"
"66212","Overland Park","KS","Johnson","38.956800000000001","-94.683199999999999"
"66223","Overland Park","KS","Johnson","38.861899999999999","-94.661000000000001"
"66224","Overland Park","KS","Johnson","38.859099999999998","-94.631399999999999"
"67119","Oxford","KS","Sumner","37.265300000000003","-97.176100000000005"
"66070","Ozawkie","KS","Jefferson","39.2136","-95.440399999999997"
"67657","Palco","KS","Rooks","39.253100000000003","-99.559299999999993"
"66962","Palmer","KS","Washington","39.619199999999999","-97.112200000000001"
"66071","Paola","KS","Miami","38.572000000000003","-94.893699999999995"
"67658","Paradise","KS","Russell","39.075600000000001","-98.920699999999997"
"67751","Park","KS","Gove","39.078800000000001","-100.34690000000001"
"66072","Parker","KS","Linn","38.330300000000001","-94.987099999999998"
"67357","Parsons","KS","Labette","37.338900000000002","-95.269300000000001"
"67566","Partridge","KS","Reno","37.967100000000002","-98.079800000000006"
"67567","Pawnee Rock","KS","Barton","38.278199999999998","-98.981399999999994"
"66526","Paxico","KS","Wabaunsee","39.080300000000001","-96.181799999999996"
"66866","Peabody","KS","Marion","38.173699999999997","-97.118399999999994"
"67120","Peck","KS","Sedgwick","37.505400000000002","-97.340800000000002"
"67659","Penokee","KS","Graham","39.348199999999999","-99.971900000000005"
"66073","Perry","KS","Jefferson","39.087499999999999","-95.373099999999994"
"67360","Peru","KS","Chautauqua","37.056800000000003","-96.1404"
"67660","Pfeifer","KS","Ellis","38.715299999999999","-99.171800000000005"
"67661","Phillipsburg","KS","Phillips","39.762300000000003","-99.332800000000006"
"67122","Piedmont","KS","Greenwood","37.6372","-96.369500000000002"
"67868","Pierceville","KS","Finney","37.905999999999999","-100.75230000000001"
"66761","Piqua","KS","Woodson","37.922800000000002","-95.535300000000007"
"66762","Pittsburg","KS","Crawford","37.395099999999999","-94.710499999999996"
"67869","Plains","KS","Meade","37.270099999999999","-100.5732"
"67663","Plainville","KS","Rooks","39.230800000000002","-99.300799999999995"
"66075","Pleasanton","KS","Linn","38.182299999999998","-94.705699999999993"
"67568","Plevna","KS","Reno","37.965800000000002","-98.2988"
"66076","Pomona","KS","Franklin","38.615299999999998","-95.448899999999995"
"67474","Portis","KS","Osborne","39.545499999999997","-98.690399999999997"
"67123","Potwin","KS","Butler","37.938899999999997","-97.019800000000004"
"66527","Powhattan","KS","Brown","39.717700000000001","-95.6751"
"67664","Prairie View","KS","Phillips","39.837000000000003","-99.568299999999994"
"66208","Prairie Village","KS","Johnson","38.991700000000002","-94.633600000000001"
"67124","Pratt","KS","Pratt","37.650199999999998","-98.730000000000004"
"66767","Prescott","KS","Linn","38.071800000000003","-94.700800000000001"
"67570","Pretty Prairie","KS","Reno","37.778300000000002","-97.988600000000005"
